module_id,gene_symbol,copper,broad_iron,core_iron,module_order,module_label,enriched_metal_set,module_colour,contributed_to_enrichment,candidate_basis,log2_fold_change,nominal_p,adjusted_p,matched_in_FTLDexp,significant,direction,minus_log10_adjusted_p
FTLD3_black,NDFIP1,FALSE,TRUE,TRUE,3,FTLD3 black,Broad and core iron,#2B2B2B,TRUE,Curated metal-associated gene assigned to the retained module,-0.2745822976120893,0.00901534239247615,0.0457304148434914,TRUE,TRUE,Downregulated,1.3397948588987412
FTLD3_black,SMAD1,FALSE,TRUE,TRUE,3,FTLD3 black,Broad and core iron,#2B2B2B,TRUE,Curated metal-associated gene assigned to the retained module,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,TRUE,Upregulated,1.3149254030253212
FTLD3_turquoise,TFAP2A,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.9207989753984048,0.00140887493910968,0.01458963556355081,TRUE,TRUE,Upregulated,1.835955556270745
FTLD3_turquoise,LMTK2,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,TRUE,Downregulated,1.7934479466281057
FTLD3_turquoise,ADO,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.22241258993707724,0.00171686206226262,0.01626783151888594,TRUE,TRUE,Downregulated,1.788670334103511
FTLD3_turquoise,COX10,FALSE,TRUE,FALSE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.198753890915206,0.00196472206679345,0.0177007978964253,TRUE,TRUE,Downregulated,1.7520071565644952
FTLD3_turquoise,BMP6,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.9236394400893628,0.00213022331584817,0.01864034457525845,TRUE,TRUE,Upregulated,1.7295460637765552
FTLD3_turquoise,SLC39A1,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.3151369924792249,0.00327093876316641,0.02442106686532103,TRUE,TRUE,Upregulated,1.6122353672707004
FTLD3_turquoise,MT3,TRUE,FALSE,FALSE,4,FTLD3 turquoise,Broad and core iron,#109C95,FALSE,Curated metal-associated gene assigned to the retained module,0.3627068003010052,0.00409787324658787,0.02810373031596684,TRUE,TRUE,Upregulated,1.551236030695728
FTLD3_turquoise,ARF1,TRUE,FALSE,FALSE,4,FTLD3 turquoise,Broad and core iron,#109C95,FALSE,Curated metal-associated gene assigned to the retained module,-0.16787398177596025,0.0051900237958824,0.0325636654890931,TRUE,TRUE,Downregulated,1.4872667152051946
FTLD3_turquoise,CAT,FALSE,TRUE,FALSE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.3563467745811808,0.00539947594239614,0.03330870349257107,TRUE,TRUE,Upregulated,1.4774422714511342
FTLD3_turquoise,SNCA,TRUE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.4139041712636802,0.00720242895508215,0.03992426918930737,TRUE,TRUE,Downregulated,1.3987630248439813
FTLD3_turquoise,SLC25A39,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.17397510056020327,0.00833605625782593,0.04370138114505591,TRUE,TRUE,Upregulated,1.3595048373042251
FTLD3_turquoise,FECH,FALSE,TRUE,FALSE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.1834657484541169,0.00850204742838882,0.04419240555271782,TRUE,TRUE,Downregulated,1.3546523575724236
FTLD3_turquoise,NUBP1,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.22068094620726345,0.00887664717802385,0.04535647856219852,TRUE,TRUE,Upregulated,1.343360671054576
FTLD3_turquoise,SMAD1,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,TRUE,Upregulated,1.3149254030253212
FTLD3_turquoise,ACO2,FALSE,TRUE,TRUE,4,FTLD3 turquoise,Broad and core iron,#109C95,TRUE,Curated metal-associated gene assigned to the retained module,-0.1737808495751363,0.01031857866535192,0.04957494167085784,TRUE,TRUE,Downregulated,1.3047377881068145
