module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour
AD_HIPPO_yellow,EIF2AK1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,FBXL5,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,FTH1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,GLRX3,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,IREB2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,KCNH7,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,MCOLN1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,NDUFS4,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,PXDN,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC25A37,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC30A1,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC39A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC46A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC48A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,STC2,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,TET2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,TFAP2A,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
FTLD1_red,ACO1,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,COMMD1,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,COX19,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,CPOX,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,CYP17A1,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,CYP27A1,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,CYP51A1,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,DAXX,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,FBXL5,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,ISCU,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,LMTK2,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,MUC2,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,NDUFAB1,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,NDUFS4,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,NDUFS7,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,PARK7,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,PLOD3,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,S100A13,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,STEAP4,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,TP53,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD2_darkmagenta,AOX1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,ARHGAP1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,ATP6V0D1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,BCL2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,BMP6,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,DGCR8,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,DNAJC24,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,DOHH,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,ETHE1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,HIF1A,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,HMOX2,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,LMTK2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,MYC,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,NDUFS8,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,NEO1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,PXDN,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,SLC39A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,SLC40A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,SLC46A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,STC2,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD2_darkmagenta,TET2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta
FTLD3_black,ABCB6,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ABCC5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ACO1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ALKBH3,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ALOX5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ANKRD9,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
