gene_symbol,AD_ERC_greenyellow,AD_ERC_darkred,AD_HIPPO_yellow,FTLD1_red,FTLD2_darkmagenta,FTLD3_black,FTLD3_turquoise,MSA_violet,PSP_pink
DAXX,1,1,1,1,0,1,1,0,1
COX17,1,0,1,0,0,1,1,0,0
SNCA,1,0,0,0,0,1,1,0,1
TP53,0,0,0,1,0,1,1,0,1
ARF1,0,0,1,0,0,1,1,0,0
MT3,0,1,0,0,0,1,1,0,0
PARK7,0,0,0,1,0,0,1,0,1
SLC30A1,0,0,1,0,0,1,1,0,0
ANG,1,0,1,0,0,0,0,0,0
GPC1,0,1,0,0,0,0,0,1,0
MUC2,1,0,0,1,0,0,0,0,0
PRNP,0,0,0,0,0,1,1,0,0
SUMF1,0,1,0,0,0,0,1,0,0
