module,gene_symbol,copper,broad_iron,core_iron,contributed_to_enrichment,log2_fold_change,nominal_p,adjusted_p,direction,minus_log10_adjusted_p
FTLD1 red,LMTK2,FALSE,TRUE,TRUE,FALSE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,Downregulated,1.7934479466281057
FTLD1 red,PLOD3,FALSE,TRUE,TRUE,FALSE,0.33477976484614125,0.00964892011844195,0.04763244032997842,Upregulated,1.322097167917456
FTLD1 red,STEAP4,FALSE,TRUE,FALSE,FALSE,1.7437094645517548,1.1243035329817998e-4,0.00352287383964701,Upregulated,2.453102909395029
FTLD2 darkmagenta,LMTK2,FALSE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,Downregulated,1.7934479466281057
FTLD2 darkmagenta,SLC39A1,FALSE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,Upregulated,1.6122353672707004
FTLD2 darkmagenta,BMP6,FALSE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,Upregulated,1.7295460637765552
FTLD2 darkmagenta,AOX1,FALSE,TRUE,TRUE,TRUE,0.9724226801543652,0.00515604502407097,0.0324087622819308,Upregulated,1.489337554725023
FTLD3 black,CYP2E1,FALSE,TRUE,FALSE,TRUE,-0.4756161754455486,0.00185103925751856,0.01706037106962616,Downregulated,1.7680115269939087
FTLD3 black,SNCA,TRUE,TRUE,TRUE,TRUE,-0.4139041712636802,0.00720242895508215,0.03992426918930737,Downregulated,1.3987630248439813
FTLD3 black,LMTK2,FALSE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,Downregulated,1.7934479466281057
FTLD3 black,NDFIP1,FALSE,TRUE,TRUE,TRUE,-0.2745822976120893,0.00901534239247615,0.0457304148434914,Downregulated,1.3397948588987412
FTLD3 black,MECR,FALSE,TRUE,TRUE,TRUE,-0.2670043274337748,2.352182253583846e-4,0.00511783022346813,Downregulated,2.290914125294071
FTLD3 black,ATP13A2,FALSE,TRUE,TRUE,TRUE,-0.26341939732571173,0.00339460082044313,0.02494817056625534,Downregulated,1.6029612954157484
