module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour,occurrences,recurrence_label
FTLD3_turquoise,CYB5B,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
PSP_pink,CYB5B,FALSE,TRUE,FALSE,9,Progressive supranuclear palsy,PSP,pink,4,4/9
AD_HIPPO_yellow,CYP51A1,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow,4,4/9
FTLD1_red,CYP51A1,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red,4,4/9
FTLD3_black,CYP51A1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,CYP51A1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
AD_HIPPO_yellow,DNAJC24,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,4,4/9
FTLD2_darkmagenta,DNAJC24,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,4,4/9
FTLD3_turquoise,DNAJC24,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
MSA_violet,DNAJC24,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,4,4/9
AD_HIPPO_yellow,FTH1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,4,4/9
FTLD3_black,FTH1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,FTH1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
PSP_pink,FTH1,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,4,4/9
FTLD2_darkmagenta,MYC,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,4,4/9
FTLD3_black,MYC,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,MYC,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
MSA_violet,MYC,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,4,4/9
AD_ERC_darkred,NFU1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,4,4/9
FTLD3_black,NFU1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,NFU1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
PSP_pink,NFU1,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,4,4/9
AD_HIPPO_yellow,SLC39A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,4,4/9
FTLD2_darkmagenta,SLC39A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,4,4/9
FTLD3_black,SLC39A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,SLC39A1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
AD_ERC_greenyellow,SNCA,TRUE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow,4,4/9
FTLD3_black,SNCA,TRUE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,SNCA,TRUE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
PSP_pink,SNCA,TRUE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,4,4/9
AD_ERC_greenyellow,ABCB6,FALSE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow,3,3/9
FTLD3_black,ABCB6,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,ABCB6,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
AD_ERC_darkred,ADO,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,3,3/9
FTLD3_turquoise,ADO,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
PSP_pink,ADO,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
AD_HIPPO_yellow,ATP6V0A2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_black,ATP6V0A2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,ATP6V0A2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
FTLD3_turquoise,ATP6V1A,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
MSA_violet,ATP6V1A,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,3,3/9
PSP_pink,ATP6V1A,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
AD_HIPPO_yellow,B2M,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_turquoise,B2M,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
PSP_pink,B2M,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
FTLD3_black,CAT,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,CAT,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
PSP_pink,CAT,FALSE,TRUE,FALSE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
FTLD1_red,CYP27A1,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red,3,3/9
FTLD3_black,CYP27A1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
MSA_violet,CYP27A1,FALSE,TRUE,FALSE,8,Multiple system atrophy,MSA,violet,3,3/9
AD_ERC_greenyellow,CYP2E1,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow,3,3/9
AD_ERC_darkred,CYP2E1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,3,3/9
FTLD3_black,CYP2E1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
AD_HIPPO_yellow,DNM2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_black,DNM2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,DNM2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
FTLD2_darkmagenta,DOHH,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
FTLD3_black,DOHH,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,DOHH,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
AD_HIPPO_yellow,DUOX1,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_black,DUOX1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,DUOX1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
AD_HIPPO_yellow,EIF2AK1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_black,EIF2AK1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,EIF2AK1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
AD_HIPPO_yellow,FBXL5,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD1_red,FBXL5,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,3,3/9
FTLD3_black,FBXL5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_black,FTO,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,FTO,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
PSP_pink,FTO,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
AD_HIPPO_yellow,GLRX3,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_turquoise,GLRX3,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
MSA_violet,GLRX3,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,3,3/9
FTLD2_darkmagenta,NDUFS8,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
FTLD3_black,NDUFS8,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,NDUFS8,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
FTLD2_darkmagenta,NEO1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
FTLD3_black,NEO1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
MSA_violet,NEO1,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,3,3/9
FTLD3_black,NUBP1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,NUBP1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
PSP_pink,NUBP1,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,3,3/9
FTLD3_black,NUBPL,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
FTLD3_turquoise,NUBPL,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
MSA_violet,NUBPL,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,3,3/9
AD_ERC_darkred,SLC25A37,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,3,3/9
AD_HIPPO_yellow,SLC25A37,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD3_black,SLC25A37,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
AD_ERC_darkred,SLC40A1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,3,3/9
FTLD2_darkmagenta,SLC40A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
FTLD3_turquoise,SLC40A1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,3,3/9
AD_HIPPO_yellow,SLC46A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD2_darkmagenta,SLC46A1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
FTLD3_black,SLC46A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,3,3/9
AD_HIPPO_yellow,TET2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,3,3/9
FTLD2_darkmagenta,TET2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,3,3/9
MSA_violet,TET2,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,3,3/9
AD_HIPPO_yellow,ACO2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
FTLD3_turquoise,ACO2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
