Module,Gene symbol,Copper-set member,Broad-iron-set member,Core-iron-set member,Contributed to module enrichment,Matched in FTLDexp,Log2 fold change,Nominal P,FDR-adjusted P,Significantly differentially expressed,Direction
FTLD3 black,SLC25A39,FALSE,TRUE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,TRUE,Upregulated
FTLD3 black,FECH,FALSE,TRUE,FALSE,TRUE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,TRUE,Downregulated
FTLD3 black,NUBP1,FALSE,TRUE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,TRUE,Upregulated
FTLD3 black,NDFIP1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.2745822976120893,0.00901534239247615,0.0457304148434914,TRUE,Downregulated
FTLD3 black,SMAD1,FALSE,TRUE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,Upregulated
FTLD3 turquoise,TFAP2A,FALSE,TRUE,TRUE,TRUE,TRUE,0.9207989753984048,0.00140887493910968,0.01458963556355081,TRUE,Upregulated
FTLD3 turquoise,LMTK2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,Downregulated
FTLD3 turquoise,ADO,FALSE,TRUE,TRUE,TRUE,TRUE,-0.22241258993707724,0.00171686206226262,0.01626783151888594,TRUE,Downregulated
FTLD3 turquoise,COX10,FALSE,TRUE,FALSE,TRUE,TRUE,-0.198753890915206,0.00196472206679345,0.0177007978964253,TRUE,Downregulated
FTLD3 turquoise,BMP6,FALSE,TRUE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,TRUE,Upregulated
FTLD3 turquoise,SLC39A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,TRUE,Upregulated
FTLD3 turquoise,MT3,TRUE,FALSE,FALSE,FALSE,TRUE,0.3627068003010052,0.00409787324658787,0.02810373031596684,TRUE,Upregulated
FTLD3 turquoise,ARF1,TRUE,FALSE,FALSE,FALSE,TRUE,-0.16787398177596025,0.0051900237958824,0.0325636654890931,TRUE,Downregulated
FTLD3 turquoise,CAT,FALSE,TRUE,FALSE,TRUE,TRUE,0.3563467745811808,0.00539947594239614,0.03330870349257107,TRUE,Upregulated
FTLD3 turquoise,SNCA,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4139041712636802,0.00720242895508215,0.03992426918930737,TRUE,Downregulated
FTLD3 turquoise,SLC25A39,FALSE,TRUE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,TRUE,Upregulated
FTLD3 turquoise,FECH,FALSE,TRUE,FALSE,TRUE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,TRUE,Downregulated
FTLD3 turquoise,NUBP1,FALSE,TRUE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,TRUE,Upregulated
FTLD3 turquoise,SMAD1,FALSE,TRUE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,Upregulated
FTLD3 turquoise,ACO2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1737808495751363,0.01031857866535192,0.04957494167085784,TRUE,Downregulated
