Module,Gene symbol,Copper-set member,Broad-iron-set member,Core-iron-set member,Contributed to module enrichment,Matched in FTLDexp,Log2 fold change,Nominal P,FDR-adjusted P,Significantly differentially expressed,Direction
FTLD2 darkmagenta,DNAJC24,FALSE,TRUE,TRUE,TRUE,TRUE,-0.00527095527483023,0.9349120648586636,0.9632608628873588,FALSE,NA
FTLD3 black,SMAD9,FALSE,TRUE,TRUE,TRUE,TRUE,0.5657743027811728,1.3659131274174936e-4,0.00385828983400479,TRUE,Upregulated
FTLD3 black,MECR,FALSE,TRUE,TRUE,TRUE,TRUE,-0.2670043274337748,2.352182253583846e-4,0.00511783022346813,TRUE,Downregulated
FTLD3 black,LMTK2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,Downregulated
FTLD3 black,CYP2E1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.4756161754455486,0.00185103925751856,0.01706037106962616,TRUE,Downregulated
FTLD3 black,BMP6,FALSE,TRUE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,TRUE,Upregulated
FTLD3 black,LYRM4,FALSE,TRUE,TRUE,TRUE,TRUE,-0.24089874708264203,0.00215725458286206,0.01876601574421269,TRUE,Downregulated
FTLD3 black,SLC39A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,TRUE,Upregulated
FTLD3 black,ATP13A2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.26341939732571173,0.00339460082044313,0.02494817056625534,TRUE,Downregulated
FTLD3 black,MT3,TRUE,FALSE,FALSE,FALSE,TRUE,0.3627068003010052,0.00409787324658787,0.02810373031596684,TRUE,Upregulated
FTLD3 black,ALOX5,FALSE,TRUE,TRUE,TRUE,TRUE,0.6022955528193115,0.00455463459192362,0.02987560534113238,TRUE,Upregulated
FTLD3 black,ARF1,TRUE,FALSE,FALSE,FALSE,TRUE,-0.16787398177596025,0.0051900237958824,0.0325636654890931,TRUE,Downregulated
FTLD3 black,CAT,FALSE,TRUE,FALSE,TRUE,TRUE,0.3563467745811808,0.00539947594239614,0.03330870349257107,TRUE,Upregulated
FTLD3 black,SNCA,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4139041712636802,0.00720242895508215,0.03992426918930737,TRUE,Downregulated
FTLD3 black,SLC25A39,FALSE,TRUE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,TRUE,Upregulated
FTLD3 black,FECH,FALSE,TRUE,FALSE,TRUE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,TRUE,Downregulated
FTLD3 black,NUBP1,FALSE,TRUE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,TRUE,Upregulated
FTLD3 black,NDFIP1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.2745822976120893,0.00901534239247615,0.0457304148434914,TRUE,Downregulated
FTLD3 black,SMAD1,FALSE,TRUE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,Upregulated
FTLD3 black,SLC30A1,TRUE,FALSE,FALSE,FALSE,TRUE,0.28603946751627074,0.01147556918815172,0.05318758606669703,FALSE,NA
