module_order,module_id,metal_enrichment,candidate_rank,gene_symbol,module_membership,gene_significance,priority_score,copper_gene,broad_iron_gene,core_iron_gene
7,FTLD3_turquoise,Broad and core iron,26,CYB5B,0.4273090543780616,0.17970310579187018,0.07678876420472482,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,27,ALKBH2,0.35191219207342134,0.1976825275896187,0.06956689161867731,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,28,MYC,0.44365104970312697,0.1559888919786089,0.06920463566833752,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,29,PICALM,0.3572288427448025,0.18580274293665397,0.06637409883807092,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,30,FTO,0.3982091501854055,0.16502125810713705,0.06571297495336949,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,31,EGLN1,0.39974786119588607,0.1602533585972193,0.06406093734869577,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,32,SNCA,0.5163798441378442,0.11513847372414568,0.05945518711594361,TRUE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,33,NDUFS8,0.4158651207295407,0.13053844418459398,0.05428638585067259,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,34,TFAP2A,0.31148451853290965,0.1723209372216205,0.05367530416361621,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,35,CLTC,0.4958562594426153,0.10820339871250186,0.05365333254455907,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,36,PPOX,0.308544472052438,0.13874492750799883,0.04280898040790928,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,37,ADO,0.4522384602565877,0.09460835558180188,0.04278553705572183,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,38,FECH,0.4694090272861523,0.08469971418782814,0.03975881044832352,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,39,PGRMC2,0.5263437098926025,0.07242073974768264,0.03811820083196193,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,40,PPP1CA,0.4405955091536461,0.08338680947691363,0.03673985377817884,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,41,CYP2R1,0.36912429851139805,0.09689754127139448,0.03576723694928272,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,42,NR1D1,0.42220493562081984,0.08366387890226352,0.03532330260571824,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,43,DGCR8,0.37874407947192706,0.08275936621441926,0.03134461997456032,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,44,ABCB6,0.3813487353754994,0.0748666651622808,0.02855030808141674,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,45,DUOX1,0.3562508035777921,0.0788314405734505,0.0280837640514867,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,46,SLC25A39,0.33189585721272885,0.08140076474451362,0.02701657659265202,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,47,HMOX2,0.4141591541715287,0.06400873711723559,0.02650980442406202,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,48,MCOLN1,0.4827848888340264,0.04939228347422708,0.02384584808636344,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,49,ATP6V0A2,0.3926760673545889,0.06062543754675683,0.02380615839751171,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,50,CYP51A1,0.30644299131076225,0.07341278708008658,0.02249683407328181,FALSE,TRUE,FALSE
