network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant
AD_ERC,midnightblue,Broad iron,7,962,14429,126,0.8221762139533562,0.8566699334199942,0.9999999999999998,AD_ERC_midnightblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkgrey,Broad iron,14,1539,14429,126,1.0473857458992202,0.8843717696097441,0.9999999999999998,AD_ERC_darkgrey,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,pink,Broad iron,17,1923,14429,126,1.0144161520240205,0.8956999606884118,0.9999999999999998,AD_ERC_pink,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,greenyellow,Broad iron,7,863,14429,126,0.9240689130874117,0.9999999999999996,0.9999999999999998,AD_ERC_greenyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,cyan,Broad iron,16,1822,14429,126,1.0065033612747927,0.9999999999999997,0.9999999999999998,AD_ERC_cyan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,purple,Broad iron,8,931,14429,126,0.9827948389612781,0.9999999999999998,0.9999999999999998,AD_ERC_purple,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,greenyellow,Copper,6,863,14429,32,3.645405211666969,0.010696350767696199,0.26740876919240497,AD_ERC_greenyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),TRUE,FALSE
AD_ERC,lightcyan,Copper,4,939,14429,32,2.0566983215861465,0.15188593376199938,0.8908978141931057,AD_ERC_lightcyan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,turquoise,Copper,3,2599,14429,32,0.47028346508467694,0.25409315491984835,0.8908978141931057,AD_ERC_turquoise,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,grey60,Copper,6,1675,14429,32,1.7597857842968327,0.25998633425905937,0.8908978141931057,AD_ERC_grey60,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,cyan,Copper,6,1822,14429,32,1.5986662648159198,0.2848760545732501,0.8908978141931057,AD_ERC_cyan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkred,Copper,6,1823,14429,32,1.5976594806538598,0.2850873005417938,0.8908978141931057,AD_ERC_darkred,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,tan,Copper,3,1004,14429,32,1.3843622873881163,0.4858006757634629,1,AD_ERC_tan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,orange,Copper,5,1733,14429,32,1.3576671875507202,0.5813790601156166,1,AD_ERC_orange,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,blue,Copper,3,2140,14429,32,0.5935035185393095,0.6159312984998789,1,AD_ERC_blue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,royalblue,Copper,4,2516,14429,32,0.6759170118085173,0.6409602882058987,1,AD_ERC_royalblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,midnightblue,Copper,1,962,14429,32,0.4510265043065088,0.7214854846016876,1,AD_ERC_midnightblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,black,Copper,4,1623,14429,32,1.12747287125057,0.7780644816076415,1,AD_ERC_black,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
