network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR
AD_DLPFC,greenyellow,Broad iron,24,1966,14798,134,1.429260920274206,0.12380080831345476,0.9822816196261065
AD_DLPFC,tan,Broad iron,17,1454,14798,134,1.3373856420057244,0.2449147894589139,0.9822816196261065
AD_DLPFC,lightcyan,Broad iron,15,1268,14798,134,1.3490950639136545,0.2759557750563423,0.9822816196261065
AD_DLPFC,cyan,Broad iron,21,1905,14798,134,1.2606166908801857,0.36287833373506795,0.9822816196261065
AD_DLPFC,pink,Broad iron,38,4724,14798,134,0.842876489478448,0.40315651343214837,0.9822816196261065
AD_DLPFC,red,Broad iron,12,1108,14798,134,1.217643052532922,0.5075527506043815,0.9822816196261065
AD_DLPFC,purple,Broad iron,14,1873,14798,134,0.8036241912394926,0.5146896571769484,0.9822816196261065
AD_DLPFC,blue,Broad iron,59,6090,14798,134,1.1260529071474665,0.5372569504112679,0.9822816196261065
AD_DLPFC,green,Broad iron,20,2513,14798,134,0.8565123450159641,0.6434513574270424,0.9822816196261065
AD_DLPFC,black,Broad iron,17,2098,14798,134,0.878597986961591,0.7094418831939463,0.9822816196261065
AD_DLPFC,magenta,Broad iron,29,3066,14798,134,1.0573845673784352,0.7492060172547222,0.9822816196261065
AD_DLPFC,yellow,Broad iron,16,1688,14798,134,1.053615115390617,0.785565771635135,0.9822816196261065
AD_DLPFC,midnightblue,Broad iron,19,1974,14798,134,1.0740554176034878,0.7981038159462115,0.9822816196261065
AD_DLPFC,salmon,Broad iron,17,2008,14798,134,0.9248407240048082,0.8990665960600148,0.9999999999999994
AD_DLPFC,turquoise,Broad iron,19,2111,14798,134,0.9928841813684275,0.9999999999999993,0.9999999999999994
AD_DLPFC,brown,Broad iron,16,1810,14798,134,0.9727343023469188,0.9999999999999994,0.9999999999999994
AD_DLPFC,black,Copper,9,2098,14798,31,2.482533359047209,0.03309991491242025,0.345901375090635
AD_DLPFC,blue,Copper,7,6090,14798,31,0.4164041259383163,0.043237671886329376,0.345901375090635
AD_DLPFC,greenyellow,Copper,7,1966,14798,31,1.9067258784775212,0.1770310109559292,0.9277345668544223
AD_DLPFC,lightcyan,Copper,4,1268,14798,31,1.5825558358149048,0.33461518323488887,0.9277345668544223
AD_DLPFC,turquoise,Copper,6,2111,14798,31,1.443603678385189,0.4364264950690646,0.9277345668544223
AD_DLPFC,red,Copper,3,1108,14798,31,1.3246631851083999,0.5022280993128334,0.9277345668544223
AD_DLPFC,magenta,Copper,8,3066,14798,31,1.3317882104094936,0.5050776510849455,0.9277345668544223
AD_DLPFC,tan,Copper,4,1454,14798,31,1.3605754419771494,0.5404500666381516,0.9277345668544223
AD_DLPFC,cyan,Copper,5,1905,14798,31,1.3023003403669995,0.5881028486171088,0.9277345668544223
AD_DLPFC,salmon,Copper,5,2008,14798,31,1.2254459555956583,0.6024290446457637,0.9277345668544223
AD_DLPFC,green,Copper,6,2513,14798,31,1.1736286617661356,0.6378175147124153,0.9277345668544223
AD_DLPFC,brown,Copper,4,1810,14798,31,1.063218534077299,0.7867234346926905,1
AD_DLPFC,pink,Copper,9,4724,14798,31,0.8721624516719922,0.8481488645134547,1
AD_DLPFC,midnightblue,Copper,4,1974,14798,31,0.9623605658349849,0.9999999999999998,1
AD_DLPFC,yellow,Copper,3,1688,14798,31,0.8318744424471215,0.9999999999999999,1
AD_DLPFC,purple,Copper,4,1873,14798,31,1.0223739800785998,1.0000000000000002,1
AD_DLPFC,pink,Core iron,20,4724,14798,90,0.6076473105077763,0.05337386748812997,0.6723271811181015
AD_DLPFC,greenyellow,Core iron,18,1966,14798,90,1.6375046460488647,0.08404089763976269,0.6723271811181015
AD_DLPFC,brown,Core iron,14,1810,14798,90,1.324315950257512,0.33184873303681717,0.9243442742085805
AD_DLPFC,purple,Core iron,8,1873,14798,90,0.6718528711917602,0.3409317092249277,0.9243442742085805
AD_DLPFC,blue,Core iron,41,6090,14798,90,1.1977446742104871,0.3926031092100921,0.9243442742085805
AD_DLPFC,tan,Core iron,11,1454,14798,90,1.279965173567012,0.4744782389486312,0.9243442742085805
AD_DLPFC,magenta,Core iron,21,3066,14798,90,1.1657406473303227,0.5158982794361332,0.9243442742085805
