geneSymbol,moduleColor
DNASE2B,black
DNM2,black
DNMT1,black
DOCK2,black
DPP6,black
DPYS,black
DPYSL4,black
DSCAML1,black
DSCC1,black
DTD1,black
DTYMK,black
DUSP14,black
DUSP19,black
DUSP22,black
DYSF,black
E2F6,black
EBF1,black
EBF3,black
ECHDC3,black
EDEM1,black
EEF1DP3,black
EFCAB4B,black
EFEMP1,black
EGR2,black
EHD2,black
EHMT1,black
EHMT2,black
EIF2C2,black
EIF4A3,black
EIF5,black
ELANE,black
ELF2,black
ELF5,black
ELL,black
ELL3,black
ELOVL1,black
ELOVL7,black
ELP3,black
EMILIN2,black
EOMES,black
EP400,black
EP400NL,black
EPB41L3,black
EPHA2,black
EPHB2,black
EPHB3,black
EPS8,black
ERBB2,black
ERG,black
ERICH1,black
ERP27,black
ERP29,black
ERP44,black
ESRRA,black
ESRRG,black
ESYT2,black
ETV5,black
ETV7,black
EVX1,black
EXOC2,black
EXOC3,black
EXOC7,black
EXOG,black
EXTL3,black
EYA1,black
FABP3,black
FADS6,black
FAH,black
FAM107A,black
FAM131C,black
FAM134C,black
FAM135A,black
FAM149A,black
FAM161B,black
FAM164C,black
FAM172A,black
FAM174A,black
FAM176A,black
FAM189A1,black
FAM190B,black
FAM19A5,black
FAM20A,black
FAM38A,black
FAM53B,black
FAM60A,black
FAM64A,black
FAM84A,black
FANCM,black
FAR1,black
FASN,black
FAT1,black
FAT3,black
FAT4,black
FBLN5,black
FBLN7,black
FBXL7,black
FBXO18,black
FBXO39,black
FBXO6,black
FBXW8,black
FDX1,black
FEZ1,black
FEZF1,black
FGF12,black
FGF14,black
FGF18,black
FGFBP3,black
FGGY,black
FHAD1,black
FHIT,black
FIBIN,black
FKBP3,black
FKBP9,black
FLJ16779,black
FLJ22536,black
FLJ43860,black
FLJ45983,black
FMNL2,black
FMO1,black
FN3KRP,black
FNDC1,black
FOLH1,black
FOS,black
FOXA1,black
FOXG1,black
FOXK1,black
FOXO3,black
FRAS1,black
FRMD4A,black
FRMD6,black
FTH1,black
FTO,black
FUCA2,black
FYCO1,black
FZD1,black
GABBR1,black
GABRA1,black
GABRA5,black
GABRA6,black
GABRB1,black
GABRG3,black
GADD45B,black
GADD45G,black
GALC,black
GALNS,black
GALNT13,black
GALNTL2,black
GALP,black
GALR1,black
GARNL3,black
GAS2,black
GATA2,black
GBE1,black
GBP4,black
GCC2,black
GCK,black
GDA,black
GDF9,black
GFRA3,black
GHDC,black
GHITM,black
GIGYF2,black
GINS1,black
GJA1,black
GLB1L2,black
GLDN,black
GLI2,black
GLIS1,black
GLT8D2,black
GLTSCR1,black
GLYAT,black
GM2A,black
GMDS,black
GMPPB,black
GNAI1,black
GNAT2,black
GNB1,black
GNG12,black
GPD2,black
GPR120,black
GPR133,black
GPR142,black
GPR180,black
GPR25,black
GPR78,black
GPX6,black
GRB10,black
GRB2,black
GREB1,black
GRIA4,black
GRID1,black
GRIN2C,black
GRK5,black
GRM1,black
GRM2,black
GRM3,black
GRM6,black
GSPT1,black
GSTM3,black
GSTP1,black
GTF2A1L,black
GUCY2G,black
GXYLT1,black
H2AFX,black
H2AFY,black
HADHA,black
HAND2,black
HARS2,black
HBEGF,black
HCCA2,black
HCG27,black
HCG9,black
HDAC10,black
HDAC4,black
HDLBP,black
HEATR2,black
HERPUD2,black
HEY2,black
HFM1,black
HIC1,black
HIP1,black
HIPK2,black
HIST1H2BI,black
HIST1H3G,black
HIST1H4E,black
HIST3H3,black
HLA-C,black
HLA-DMA,black
HLA-DOA,black
HLA-DPB1,black
HLA-DQB2,black
HLA-G,black
HLA-H,black
HMBS,black
HMG20A,black
HMGB4,black
HMGCR,black
HMGN4,black
HMMR,black
HMP19,black
HNRNPUL2,black
HNRPLL,black
HOMER2,black
HOOK3,black
HOXA11,black
HOXA4,black
HOXA5,black
HOXA9,black
HOXB3,black
HOXD10,black
HPCAL1,black
HRAS,black
HRH3,black
HS1BP3,black
HS3ST6,black
HS6ST1,black
HSD11B1L,black
HSF4,black
HSPA1A,black
HSPA1L,black
HSPC157,black
HSPE1,black
HSPG2,black
HTATIP2,black
HTR1A,black
HUS1B,black
HYLS1,black
ICK,black
IFT140,black
IGDCC3,black
IGF1R,black
IGF2BP3,black
IGFBP5,black
IGFL4,black
IKBIP,black
IL17RD,black
IL1F6,black
IL1RN,black
IMP4,black
IMPAD1,black
IMPDH1,black
ING5,black
INO80D,black
INPP5A,black
INPP5D,black
INSC,black
INSR,black
IP6K3,black
IQCA1,black
IQCE,black
IQCH,black
IRF2,black
IRF5,black
IRGQ,black
IRS1,black
IRS2,black
IRX6,black
ISOC1,black
ITFG3,black
ITGA11,black
ITGA2B,black
ITGA4,black
ITGA7,black
ITGA9,black
ITIH1,black
ITM2B,black
ITSN2,black
JAG2,black
JAK1,black
JAK2,black
JAKMIP3,black
JAM3,black
JMJD5,black
JMJD8,black
JPH1,black
JUB,black
KATNAL2,black
KCNA4,black
KCNA6,black
KCNAB1,black
KCNH1,black
KCNH7,black
KCNJ8,black
KCNK9,black
KCNMA1,black
KCNN1,black
KCNN3,black
KCNQ1,black
KCNT1,black
KCTD15,black
KDM2B,black
KHDC1,black
KIAA0040,black
KIAA0146,black
KIAA0182,black
KIAA0195,black
KIAA0495,black
KIAA0562,black
KIAA0776,black
KIAA1161,black
KIAA1199,black
KIAA1430,black
KIAA1530,black
KIAA1549,black
KIAA1688,black
KIAA1751,black
KIAA1826,black
KIAA1949,black
KIF15,black
KIF17,black
KIF1A,black
KIF1B,black
KIF21B,black
KIF26B,black
KIF5C,black
KIF6,black
KIFC1,black
KIRREL3,black
KLF12,black
KLF14,black
KLF15,black
KLHDC7A,black
KLHL11,black
KLHL28,black
KLHL29,black
KLHL36,black
KLHL7,black
KRI1,black
KRT3,black
KRT31,black
KRT83,black
LAMA1,black
LAMC2,black
LAMP1,black
LAMP3,black
LAP3,black
LAPTM4A,black
LASP1,black
LAYN,black
LBXCOR1,black
LDB1,black
LDLRAD2,black
LDLRAD3,black
LEKR1,black
LEMD1,black
LETM2,black
LGI1,black
LGMN,black
LGR5,black
LGTN,black
LHFPL5,black
LHX8,black
LIMCH1,black
LIMD1,black
LIMK2,black
LIN7A,black
LINGO3,black
LMBR1,black
LMF1,black
LMOD1,black
LOC100129637,black
LOC100130093,black
LOC100130274,black
LOC100130872,black
LOC100130872-SPON2,black
LOC100130987,black
LOC100133991,black
LOC100302401,black
LOC134466,black
LOC255167,black
LOC283392,black
LOC285501,black
LOC285830,black
LOC387647,black
LOC401097,black
LOC401463,black
LOC441601,black
LOC645323,black
LOC728392,black
LOC728723,black
LOC729467,black
LPCAT2,black
LPO,black
LPPR5,black
LRDD,black
LRIG1,black
LRIT1,black
LRP2,black
LRP5,black
LRRC16A,black
LRRC27,black
LRRC33,black
LRRC3B,black
LRRC43,black
LRRC49,black
LRRC7,black
LRRC8A,black
LRRC8D,black
LRRN1,black
LRRN2,black
LTBP1,black
LTBR,black
LYAR,black
LYPD5,black
LYRM4,black
MACROD1,black
MAD1L1,black
MAFA,black
MAGEL2,black
MAGI1,black
MAGI2,black
MAML3,black
MAP3K3,black
MAPK13,black
MAPK15,black
MAPKAP1,black
MAPKBP1,black
MARCH10,black
MARCH11,black
MARCH4,black
MBNL2,black
MBP,black
MC4R,black
MCC,black
MCF2L2,black
MCL1,black
MCTP1,black
MDK,black
ME1,black
MED28,black
MED31,black
MED4,black
MED8,black
MEFV,black
MEOX2,black
MERTK,black
METRNL,black
METT11D1,black
METTL1,black
MFSD2B,black
MFSD9,black
MGAT1,black
MGAT3,black
MGAT4C,black
MGAT5B,black
MGC23284,black
MGC2889,black
MGEA5,black
MGLL,black
MIB1,black
MICAL2,black
MICB,black
MIER1,black
MIR1182,black
MIR1276,black
MIR1322,black
MIR410,black
MIR548F5,black
MIR548H4,black
MIR769,black
MKRN2,black
MMD,black
MMP14,black
MMP2,black
MNS1,black
MOGAT3,black
MON1B,black
MORF4L1,black
MPRIP,black
MRFAP1L1,black
MRPL11,black
MRPL21,black
MRPS16,black
MRPS33,black
MRPS35,black
MRPS9,black
MS4A13,black
MSH4,black
MT1M,black
MT3,black
MTA1,black
MTERFD2,black
MTHFSD,black
MTRR,black
MTX2,black
MUC2,black
MUC21,black
MXD1,black
MYC,black
MYL12B,black
MYLK,black
MYLK2,black
MYO10,black
MYO18A,black
MYO5C,black
MYO7B,black
MYOD1,black
MYOM2,black
MYT1L,black
MZF1,black
NAAA,black
NAALADL1,black
NAB1,black
NAT10,black
NBN,black
NCAPG,black
NCEH1,black
NCOR2,black
NCRNA00116,black
NDUFA10,black
NDUFA7,black
NDUFAF1,black
NDUFC2,black
NEAT1,black
NEBL,black
NECAP1,black
NEDD4L,black
NEDD9,black
NEK11,black
NEK3,black
NEK7,black
NELL2,black
NETO1,black
NEU1,black
NEURL,black
NFIA,black
NFIX,black
NID2,black
NKX6-2,black
NLRP12,black
NLRP2,black
NMNAT2,black
NOS1AP,black
NOS3,black
NPC2,black
NPHP4,black
NPM3,black
NPR2,black
NR2E3,black
NR2F1,black
NR5A2,black
NRG2,black
NRM,black
NRSN1,black
NRXN2,black
NSUN2,black
NTM,black
NTN4,black
NTSR1,black
NUDCD3,black
NUDT15,black
NUFIP2,black
NUP210,black
NXN,black
OAS3,black
OBFC2B,black
OBSCN,black
OCA2,black
ODZ2,black
OGFOD1,black
OGG1,black
OLFML2B,black
OPRD1,black
OR2C1,black
OR4C15,black
OR4F15,black
OR51B4,black
OR5B21,black
OR8U8,black
OSBP,black
OSBPL5,black
OSBPL9,black
OSTCL,black
OTOA,black
OXNAD1,black
P2RX1,black
P2RX7,black
P4HB,black
P4HTM,black
PA2G4,black
PA2G4P4,black
PACRG,black
PACS1,black
PADI2,black
PAFAH2,black
PALM,black
PALMD,black
PAOX,black
PAPLN,black
PARD3,black
PATL2,black
PAX6,black
PAX9,black
PCDH10,black
PCDH20,black
PCDH21,black
PCDH9,black
PCDHB10,black
PCDHB11,black
PCDHB3,black
PCDHGA1,black
PCDHGA2,black
PCDHGA4,black
PCF11,black
PCGF3,black
PCSK1,black
PCSK2,black
PCSK4,black
PCYT1A,black
PDCL,black
PDE10A,black
PDE4D,black
PDE4DIP,black
PDE9A,black
PDGFD,black
PDIA2,black
PDK4,black
PDLIM3,black
PDLIM5,black
PDSS2,black
PDX1,black
PDZRN3,black
PDZRN4,black
PER3,black
PET112L,black
PEX5L,black
PF4,black
PFAS,black
PFKFB3,black
PFKP,black
PFN2,black
PGAM5,black
PGAP3,black
PGBD4,black
PGRMC2,black
PHACTR1,black
PHACTR2,black
PHF10,black
PHF13,black
PHLDB1,black
PHOX2A,black
PHRF1,black
PIGG,black
PIK3C2B,black
PIK3CD,black
PIK3R4,black
PINX1,black
PIP4K2A,black
PIP5K1C,black
PISRT1,black
PITPNA,black
PITPNM2,black
PKDCC,black
PLA2G5,black
PLA2G7,black
PLCD1,black
PLCE1,black
PLCG2,black
PLCL1,black
PLD1,black
PLEKHA7,black
PLEKHG5,black
PLXND1,black
PNLDC1,black
PNLIPRP2,black
PNPLA7,black
POFUT2,black
