geneSymbol,moduleColor
AANAT,black
AARS2,black
AATF,black
ABAT,black
ABCA13,black
ABCB5,black
ABCC13,black
ABCC2,black
ABHD13,black
ABHD15,black
ABLIM2,black
ABRA,black
ACAD9,black
ACADL,black
ACAN,black
ACER3,black
ACN9,black
ACO1,black
ACOT7,black
ACOX3,black
ACP1,black
ACSF2,black
ACSF3,black
ACTN1,black
ACTN2,black
ACTRT2,black
ACVR2B,black
ACYP2,black
ADAD1,black
ADAM12,black
ADAMTS17,black
ADAMTS2,black
ADAP1,black
ADAR,black
ADARB2,black
ADD2,black
ADH6,black
ADIPOQ,black
ADK,black
ADORA2B,black
AES,black
AFAP1,black
AFAP1L1,black
AFF3,black
AFMID,black
AGAP1,black
AGAP3,black
AGPAT1,black
AGPAT3,black
AHCYL1,black
AHI1,black
AHRR,black
AIFM3,black
AIM2,black
AIP,black
AKAP12,black
AKAP8L,black
ALDH1L1,black
ALDH3A2,black
ALDH4A1,black
ALG11,black
ALG6,black
ALKBH4,black
ALKBH5,black
ALLC,black
ALMS1,black
ALOX12P2,black
ALOX5,black
ALOXE3,black
ALPK2,black
ALS2,black
ALS2CR4,black
AMTN,black
ANAPC10,black
ANAPC7,black
ANK1,black
ANKH,black
ANKLE2,black
ANKMY1,black
ANKRD10,black
ANKRD23,black
ANKRD31,black
ANKRD40,black
ANKRD43,black
ANKRD6,black
ANLN,black
ANO1,black
ANXA7,black
AOX2P,black
AP1M1,black
AP2A2,black
APBA2,black
APEH,black
APLP2,black
APOB,black
AQP12A,black
ARFGAP2,black
ARG2,black
ARGLU1,black
ARHGAP18,black
ARHGEF1,black
ARHGEF10L,black
ARHGEF16,black
ARHGEF19,black
ARHGEF2,black
ARID1B,black
ARL15,black
ARL2,black
ARMC3,black
ARMC4,black
ARMC7,black
ARPC2,black
ARRB1,black
ARSJ,black
ART3,black
ARVCF,black
AS3MT,black
ASAM,black
ASB10,black
ASB13,black
ASB14,black
ASCL2,black
ASPSCR1,black
ASS1,black
ASTL,black
ATAD3B,black
ATF6B,black
ATP10D,black
ATP11A,black
ATP11B,black
ATP2A1,black
ATP2A3,black
ATP2B2,black
ATP2C2,black
ATP5A1,black
ATP5S,black
ATP6V0D1,black
ATP8A2,black
ATP8B3,black
ATP9B,black
ATRN,black
ATXN7L1,black
AURKC,black
AVPR1B,black
AXIN1,black
B3GALNT1,black
B3GALTL,black
B3GNTL1,black
B4GALNT1,black
B4GALNT4,black
B4GALT1,black
BACH2,black
BAHCC1,black
BANP,black
BBS7,black
BCAR1,black
BCL2,black
BCL2L14,black
BCL3,black
BDH1,black
BDKRB1,black
BDKRB2,black
BDNF,black
BEND7,black
BEST3,black
BEST4,black
BICD2,black
BNIP1,black
BOD1L,black
BOLL,black
BOP1,black
BPNT1,black
BRD2,black
BREA2,black
BRF1,black
BRMS1,black
BRSK2,black
BRUNOL4,black
BSN,black
BSPH1,black
BST1,black
BTF3L4,black
BTG4,black
BTN2A2,black
BTN3A3,black
BTNL2,black
BTNL8,black
C10ORF11,black
C10ORF110,black
C10ORF137,black
C10ORF71,black
C11ORF17,black
C11ORF2,black
C11ORF40,black
C11ORF41,black
C11ORF60,black
C11ORF64,black
C11ORF80,black
C11ORF92,black
C12ORF66,black
C12ORF67,black
C13ORF37,black
C14ORF104,black
C14ORF106,black
C14ORF126,black
C14ORF129,black
C14ORF132,black
C14ORF139,black
C14ORF2,black
C14ORF34,black
C14ORF43,black
C15ORF23,black
C15ORF26,black
C15ORF27,black
C15ORF28,black
C15ORF41,black
C16ORF11,black
C16ORF35,black
C16ORF90,black
C17ORF59,black
C17ORF62,black
C17ORF63,black
C17ORF85,black
C19ORF26,black
C19ORF34,black
C19ORF55,black
C19ORF6,black
C1ORF127,black
C1ORF183,black
C1ORF190,black
C1ORF21,black
C1ORF55,black
C1ORF63,black
C1ORF84,black
C1ORF86,black
C1ORF88,black
C1QTNF1,black
C1S,black
C20ORF117,black
C20ORF194,black
C20ORF20,black
C21ORF49,black
C2ORF18,black
C2ORF40,black
C2ORF52,black
C2ORF67,black
C2ORF79,black
C3ORF19,black
C3ORF39,black
C3ORF52,black
C4ORF17,black
C4ORF36,black
C4ORF42,black
C4ORF44,black
C4ORF49,black
C5ORF22,black
C5ORF30,black
C5ORF41,black
C5ORF47,black
C5ORF54,black
C6,black
C6ORF10,black
C6ORF115,black
C6ORF182,black
C6ORF48,black
C6ORF57,black
C7ORF13,black
C7ORF20,black
C7ORF50,black
C7ORF58,black
C8ORF42,black
C8ORF79,black
C9ORF150,black
C9ORF156,black
C9ORF171,black
C9ORF3,black
C9ORF43,black
C9ORF57,black
C9ORF79,black
C9ORF98,black
CA7,black
CA8,black
CABC1,black
CABLES2,black
CABP2,black
CACNA1C,black
CACNA1H,black
CACNA2D2,black
CACNA2D3,black
CACNG1,black
CADPS2,black
CALCOCO2,black
CALD1,black
CALR,black
CAMK2D,black
CAMKK2,black
CAMSAP1,black
CAMTA1,black
CANT1,black
CAPN9,black
CARD11,black
CARS2,black
CASKIN2,black
CASR,black
CASZ1,black
CATSPERG,black
CBFA2T3,black
CBS,black
CCDC12,black
CCDC127,black
CCDC132,black
CCDC28A,black
CCDC36,black
CCDC37,black
CCDC73,black
CCDC85C,black
CCDC88A,black
CCDC88C,black
CCDC9,black
CCHCR1,black
CCK,black
CCL8,black
CCNC,black
CCND1,black
CCND3,black
CCNF,black
CCNY,black
CCT2,black
CD151,black
CD47,black
CD59,black
CD81,black
CD96,black
CDADC1,black
CDAN1,black
CDC34,black
CDC42BPB,black
CDC42SE2,black
CDCA8,black
CDCP1,black
CDH15,black
CDH23,black
CDKAL1,black
CDKL1,black
CDNF,black
CDON,black
CDR2L,black
CDRT4,black
CDYL,black
CDYL2,black
CEBPG,black
CEND1,black
CENPE,black
CENPN,black
CEP120,black
CEP57,black
CEP72,black
CGNL1,black
CHADL,black
CHCHD3,black
CHD1,black
CHD7,black
CHD8,black
CHEK2,black
CHGB,black
CHID1,black
CHMP4C,black
CHN2,black
CHRD,black
CHRNA2,black
CHST8,black
CIB4,black
CIDEA,black
CLASP1,black
CLCN3,black
CLCNKB,black
CLDN10,black
CLDN11,black
CLDN25,black
CLEC16A,black
CLEC4GP1,black
CLIP2,black
CLN5,black
CLPS,black
CLVS1,black
CLYBL,black
CMIP,black
CNN2,black
CNNM2,black
CNO,black
CNOT1,black
CNOT2,black
COBLL1,black
COG3,black
COL11A2,black
COL22A1,black
COL23A1,black
COL24A1,black
COL25A1,black
COL4A1,black
COL4A2,black
COL5A1,black
COMMD5,black
COMMD9,black
COMT,black
COQ6,black
COX10,black
COX15,black
COX5B,black
COX6A2,black
CP110,black
CPLX1,black
CPS1,black
CPSF1,black
CPSF4,black
CREB1,black
CRELD1,black
CRIP3,black
CRTAM,black
CRTC1,black
CRYAA,black
CRYBA2,black
CRYGN,black
CRYL1,black
CRYM,black
CSGALNACT2,black
CSMD1,black
CSMD3,black
CSNK1D,black
CTBP1,black
CTBP2,black
CTDSP2,black
CTLA4,black
CTSA,black
CUGBP2,black
CUTA,black
CUX1,black
CXADR,black
CXCL14,black
CXCL3,black
CXCR5,black
CYB5A,black
CYB5RL,black
CYFIP1,black
CYP26B1,black
CYP27C1,black
CYP2W1,black
CYTSB,black
DAB1,black
DAB2,black
DAB2IP,black
DAP,black
