geneSymbol,moduleColor
A2BP1,black
A4GALT,black
AAK1,black
AARS,black
AARSD1,black
AASDH,black
AASS,black
AATF,black
ABCB10,black
ABCB6,black
ABCB8,black
ABCB9,black
ABCC5,black
ABCC8,black
ABCD2,black
ABCD4,black
ABCF1,black
ABCF3,black
ABHD1,black
ABHD14B,black
ABHD2,black
ABHD3,black
ABHD4,black
ABI1,black
ABI2,black
ABR,black
ACAA1,black
ACAD10,black
ACAD9,black
ACADL,black
ACADM,black
ACAP2,black
ACAT2,black
ACBD3,black
ACBD7,black
ACCN2,black
ACCN4,black
ACCS,black
ACER2,black
ACER3,black
ACHE,black
ACLY,black
ACO1,black
ACOX3,black
ACP2,black
ACP6,black
ACSL1,black
ACSL6,black
ACTL6A,black
ACTN4,black
ACTR10,black
ACTR6,black
ACVR1,black
ACVR1B,black
ACYP2,black
ADAL,black
ADAM23,black
ADAMTS13,black
ADAMTS15,black
ADAMTS16,black
ADAMTS17,black
ADAMTS2,black
ADAMTS5,black
ADAMTS6,black
ADAMTS8,black
ADAMTS9,black
ADAP1,black
ADAR,black
ADARB2,black
ADAT1,black
ADAT3,black
ADCY2,black
ADCY4,black
ADCY6,black
ADCY8,black
ADCYAP1,black
ADD1,black
ADD2,black
ADD3,black
ADIPOR1,black
ADIPOR2,black
ADK,black
ADORA2B,black
ADPGK,black
ADRA2A,black
ADRB2,black
ADRB3,black
ADSSL1,black
AEBP2,black
AES,black
AFAP1,black
AFF1,black
AFF3,black
AFG3L1,black
AGA,black
AGAP1,black
AGBL3,black
AGBL5,black
AGFG1,black
AGK,black
AGL,black
AGPAT1,black
AGPAT4,black
AGPHD1,black
AGRN,black
AGTRAP,black
AGXT2,black
AHCYL2,black
AHDC1,black
AIDA,black
AIFM3,black
AIMP1,black
AK2,black
AK3L1,black
AK7,black
AKAP1,black
AKAP12,black
AKAP5,black
AKAP9,black
AKD1,black
AKIRIN1,black
AKR1B1,black
AKT1S1,black
AKT2,black
AKTIP,black
ALCAM,black
ALDH16A1,black
ALDH18A1,black
ALDH1L1,black
ALDH1L2,black
ALDH7A1,black
ALDH9A1,black
ALDOA,black
ALDOC,black
ALG11,black
ALG14,black
ALG3,black
ALG5,black
ALG6,black
ALG8,black
ALG9,black
ALKBH3,black
ALKBH4,black
ALKBH5,black
ALKBH6,black
ALKBH7,black
ALKBH8,black
ALMS1,black
ALOX5,black
ALOXE3,black
ALS2,black
ALS2CR4,black
ALS2CR8,black
AMD1,black
AMDHD2,black
AMFR,black
AMIGO1,black
AMIGO3,black
AMOTL1,black
ANAPC10,black
ANAPC4,black
ANAPC5,black
ANAPC7,black
ANGEL1,black
ANGEL2,black
ANK2,black
ANKFY1,black
ANKHD1,black
ANKRA2,black
ANKRD10,black
ANKRD11,black
ANKRD12,black
ANKRD13A,black
ANKRD13B,black
ANKRD13D,black
ANKRD17,black
ANKRD28,black
ANKRD29,black
ANKRD31,black
ANKRD34A,black
ANKRD34B,black
ANKRD35,black
ANKRD39,black
ANKRD40,black
ANKRD42,black
ANKRD45,black
ANKRD5,black
ANKRD50,black
ANKRD52,black
ANKRD9,black
ANKS1A,black
ANKS1B,black
ANKS3,black
ANKZF1,black
ANO1,black
ANO5,black
ANO6,black
ANP32A,black
ANP32E,black
ANTXR1,black
ANUBL1,black
ANXA3,black
AP1AR,black
AP1G1,black
AP1G2,black
AP1M1,black
AP1M2,black
AP2A1,black
AP2M1,black
AP3D1,black
AP3M1,black
AP3S2,black
AP4B1,black
AP4E1,black
AP4S1,black
APBA1,black
APC,black
APEH,black
APH1A,black
APH1B,black
API5,black
APITD1,black
APLF,black
APLP2,black
APOB,black
APOE,black
APOLD1,black
APP,black
APPL1,black
AQR,black
ARAP2,black
ARF1,black
ARF3,black
ARF4,black
ARF6,black
ARFGAP2,black
ARFGEF1,black
ARFRP1,black
ARG2,black
ARGLU1,black
ARHGAP18,black
ARHGAP19,black
ARHGAP20,black
ARHGAP21,black
ARHGAP26,black
ARHGAP29,black
ARHGAP5,black
ARHGDIG,black
ARHGEF1,black
ARHGEF10,black
ARHGEF11,black
ARHGEF17,black
ARID3B,black
ARID4B,black
ARID5B,black
ARIH2,black
ARL10,black
ARL6IP1,black
ARL6IP6,black
ARL8B,black
ARMC1,black
ARMC3,black
ARMC7,black
ARMC8,black
ARMC9,black
ARNT,black
ARPC2,black
ARPC3,black
ARPC5,black
ARPC5L,black
ARPP-21,black
ARRB2,black
ARRDC4,black
ARSA,black
ARSG,black
ARSK,black
ASAH1,black
ASB18,black
ASB4,black
ASCL1,black
ASCL2,black
ASF1B,black
ASNSD1,black
ASPG,black
ASPSCR1,black
ASTN1,black
ASXL1,black
ATAD2,black
ATAD2B,black
ATAD5,black
ATCAY,black
ATE1,black
ATF1,black
ATF3,black
ATF4,black
ATF6,black
ATF6B,black
ATG10,black
ATG2A,black
ATG4C,black
ATG4D,black
ATG5,black
ATL3,black
ATM,black
ATMIN,black
ATOH7,black
ATP10D,black
ATP11B,black
ATP13A1,black
ATP13A2,black
ATP1A1,black
ATP1B2,black
ATP2A2,black
ATP2A3,black
ATP2B2,black
ATP2B4,black
ATP2C1,black
ATP5A1,black
ATP5B,black
ATP5E,black
ATP5G3,black
ATP5J,black
ATP5O,black
ATP5SL,black
ATP6V0A2,black
ATP6V0D1,black
ATP6V0E2,black
ATP6V1B2,black
ATP6V1C1,black
ATP6V1F,black
ATP6V1G1,black
ATP6V1H,black
ATP7B,black
ATP8A1,black
ATP8B2,black
ATP8B3,black
ATP9A,black
ATPAF1,black
ATPAF2,black
ATPGD1,black
ATPIF1,black
ATRIP,black
ATXN1,black
ATXN10,black
ATXN1L,black
ATXN7,black
ATXN7L1,black
AUTS2,black
AVP,black
AVPI1,black
AVPR1B,black
AXIN2,black
B3GALT2,black
B3GAT1,black
B3GAT3,black
B4GALNT1,black
B4GALNT4,black
B4GALT5,black
B4GALT6,black
B4GALT7,black
B9D2,black
BAG2,black
BAHCC1,black
BAHD1,black
BAI2,black
BAI3,black
BANP,black
BASP1,black
BAT1,black
BAT2,black
BAT3,black
BAT4,black
BAT5,black
BAZ1A,black
BAZ1B,black
BAZ2A,black
BBS1,black
BBS12,black
BBS4,black
BBX,black
BCAP29,black
BCAR1,black
BCAS4,black
BCAT2,black
BCDIN3D,black
BCHE,black
BCKDHA,black
BCKDHB,black
BCL11A,black
BCL11B,black
BCL2,black
BCL2L1,black
BCL2L11,black
BCL2L13,black
BCL3,black
BCL6,black
BCL7A,black
BCL7C,black
BCL9,black
BCLAF1,black
BCR,black
BDNF,black
BDP1,black
BEGAIN,black
BEND7,black
BET1,black
BFSP1,black
BHLHE23,black
BHLHE40,black
BHLHE41,black
BICD1,black
BID,black
BIN3,black
BIRC2,black
BIRC3,black
BIRC6,black
BLCAP,black
BMF,black
BMP2,black
BMP2K,black
BMP3,black
BMP6,black
BMP7,black
BMP8A,black
BMPER,black
BMPR2,black
BNC2,black
BNIP1,black
BOD1,black
BOD1L,black
BOLA3,black
BOLL,black
BPESC1,black
BPGM,black
BPNT1,black
BRAF,black
BRCA1,black
BRD2,black
BRD8,black
BRE,black
BRF1,black
BRF2,black
BRI3,black
BRI3BP,black
BRIP1,black
BRIX1,black
BRMS1L,black
BRP44,black
BRPF3,black
BRUNOL4,black
BSDC1,black
BSG,black
BTBD10,black
BTBD3,black
BTBD8,black
BTBD9,black
BTC,black
BTD,black
BTF3,black
BTF3L4,black
BTG1,black
BTN2A1,black
BTN3A1,black
BTN3A2,black
BTRC,black
BUB3,black
BUD13,black
BZW1,black
C10ORF114,black
C10ORF119,black
C10ORF137,black
C10ORF140,black
C10ORF18,black
C10ORF2,black
C10ORF25,black
C10ORF26,black
C10ORF28,black
C10ORF4,black
C10ORF41,black
C10ORF53,black
C10ORF76,black
C10ORF78,black
C10ORF84,black
C10ORF88,black
C11ORF49,black
C11ORF51,black
C11ORF57,black
C11ORF58,black
C11ORF60,black
C11ORF71,black
C11ORF73,black
C11ORF80,black
C11ORF82,black
C11ORF83,black
C11ORF84,black
C11ORF92,black
C12ORF10,black
C12ORF23,black
C12ORF29,black
C12ORF34,black
C12ORF4,black
C12ORF56,black
C12ORF57,black
C12ORF62,black
C12ORF72,black
C12ORF73,black
C13ORF1,black
C13ORF18,black
C13ORF23,black
C13ORF37,black
C13ORF38,black
C14ORF1,black
C14ORF101,black
C14ORF102,black
C14ORF104,black
C14ORF118,black
C14ORF119,black
C14ORF126,black
C14ORF135,black
C14ORF138,black
C14ORF147,black
C14ORF159,black
C14ORF166,black
C14ORF179,black
C14ORF181,black
C14ORF182,black
C14ORF184,black
C14ORF23,black
C14ORF28,black
C14ORF37,black
C14ORF39,black
C14ORF4,black
C14ORF43,black
C14ORF80,black
C15ORF2,black
C15ORF23,black
C15ORF27,black
C15ORF33,black
C15ORF37,black
C15ORF39,black
C15ORF40,black
C15ORF42,black
C15ORF57,black
C15ORF58,black
C16ORF13,black
C16ORF35,black
C16ORF45,black
C16ORF52,black
C16ORF58,black
C16ORF63,black
C16ORF68,black
C16ORF72,black
C16ORF80,black
C16ORF87,black
C16ORF91,black
C17ORF28,black
C17ORF37,black
C17ORF42,black
C17ORF49,black
C17ORF53,black
C17ORF57,black
C17ORF58,black
C17ORF61,black
C17ORF62,black
C17ORF63,black
C17ORF71,black
C17ORF79,black
C17ORF80,black
C17ORF81,black
C17ORF85,black
C17ORF90,black
C17ORF91,black
C17ORF95,black
C17ORF97,black
C18ORF1,black
C18ORF19,black
C18ORF22,black
C18ORF45,black
C18ORF54,black
C18ORF8,black
C19ORF10,black
C19ORF12,black
C19ORF20,black
C19ORF22,black
C19ORF24,black
C19ORF25,black
C19ORF28,black
C19ORF29,black
C19ORF36,black
C19ORF40,black
C19ORF43,black
C19ORF45,black
C19ORF47,black
C19ORF48,black
C19ORF51,black
C19ORF54,black
C19ORF56,black
C19ORF60,black
C19ORF61,black
C19ORF62,black
C19ORF66,black
C19ORF73,black
C1ORF101,black
C1ORF103,black
C1ORF107,black
C1ORF113,black
C1ORF114,black
C1ORF115,black
C1ORF122,black
C1ORF124,black
C1ORF128,black
C1ORF131,black
C1ORF135,black
C1ORF144,black
C1ORF151,black
C1ORF173,black
C1ORF190,black
C1ORF198,black
C1ORF204,black
C1ORF21,black
C1ORF212,black
C1ORF213,black
C1ORF220,black
C1ORF230,black
C1ORF25,black
C1ORF27,black
C1ORF31,black
C1ORF58,black
C1ORF66,black
C1ORF69,black
C1ORF83,black
C1ORF85,black
C1ORF86,black
C1ORF9,black
C1ORF92,black
C1ORF93,black
C1ORF94,black
C1ORF95,black
C1ORF97,black
C1QL1,black
C1QL2,black
C20ORF108,black
C20ORF111,black
C20ORF112,black
C20ORF117,black
C20ORF12,black
C20ORF132,black
C20ORF194,black
C20ORF196,black
C20ORF199,black
C20ORF20,black
C20ORF26,black
C20ORF3,black
C20ORF43,black
C20ORF56,black
C20ORF7,black
C20ORF94,black
C20ORF96,black
C21ORF2,black
C21ORF45,black
C21ORF56,black
C21ORF59,black
C21ORF67,black
C21ORF88,black
C22ORF24,black
C22ORF26,black
C22ORF30,black
C22ORF36,black
C22ORF39,black
C22ORF40,black
C22ORF41,black
C2ORF18,black
C2ORF29,black
C2ORF44,black
C2ORF52,black
C2ORF60,black
C2ORF63,black
C2ORF67,black
C2ORF73,black
C2ORF74,black
C2ORF76,black
C2ORF77,black
C2ORF86,black
C2ORF89,black
C3ORF1,black
C3ORF10,black
C3ORF15,black
C3ORF19,black
C3ORF26,black
C3ORF33,black
C3ORF37,black
C3ORF38,black
C3ORF39,black
C3ORF59,black
C3ORF75,black
C4ORF10,black
C4ORF19,black
C4ORF27,black
C4ORF29,black
C4ORF3,black
C4ORF32,black
C4ORF33,black
C4ORF34,black
C4ORF36,black
C4ORF37,black
C4ORF41,black
C4ORF46,black
C5ORF13,black
C5ORF22,black
C5ORF24,black
C5ORF28,black
C5ORF33,black
C5ORF34,black
C5ORF36,black
C5ORF38,black
C5ORF41,black
C5ORF42,black
C5ORF44,black
C5ORF45,black
C5ORF54,black
C6ORF1,black
C6ORF103,black
C6ORF106,black
C6ORF108,black
C6ORF114,black
C6ORF120,black
C6ORF129,black
C6ORF134,black
C6ORF136,black
C6ORF138,black
C6ORF141,black
C6ORF145,black
C6ORF147,black
C6ORF155,black
C6ORF165,black
C6ORF167,black
C6ORF174,black
C6ORF182,black
C6ORF192,black
C6ORF203,black
C6ORF204,black
C6ORF211,black
C6ORF226,black
C6ORF47,black
C6ORF48,black
C6ORF70,black
C7ORF10,black
C7ORF13,black
C7ORF23,black
C7ORF25,black
C7ORF31,black
C7ORF36,black
C7ORF38,black
C7ORF46,black
C7ORF47,black
C7ORF49,black
C7ORF50,black
C7ORF52,black
C7ORF58,black
C7ORF59,black
C8ORF33,black
C8ORF37,black
C8ORF39,black
C8ORF41,black
C8ORF42,black
C8ORF45,black
C8ORF48,black
C8ORF59,black
C8ORF73,black
C8ORF83,black
C9ORF116,black
C9ORF125,black
C9ORF156,black
C9ORF163,black
C9ORF25,black
C9ORF3,black
C9ORF6,black
C9ORF7,black
CA10,black
CA13,black
CA5A,black
CAB39L,black
CABC1,black
CABIN1,black
CABP1,black
CABYR,black
CACNA1A,black
CACNA1C,black
CACNA1D,black
CACNA1G,black
CACNA1H,black
CACNA2D1,black
CACNA2D3,black
CACNB1,black
CACNB2,black
CACNB4,black
CACNG2,black
CACNG3,black
CACNG8,black
CACYBP,black
CADM1,black
CADM4,black
CAGE1,black
CALCOCO1,black
CALCR,black
CALM1,black
CALM3,black
CALN1,black
CAMK2D,black
CAMLG,black
CAMTA1,black
CAMTA2,black
CAND1,black
CANX,black
CAP2,black
CAPNS1,black
