geneSymbol,moduleColor
CHCHD1,black
CHCHD4,black
CHD1L,black
CHD6,black
CHFR,black
CHI3L1,black
CHL1,black
CHMP4A,black
CHN1,black
CHRM2,black
CHRNA3,black
CHST11,black
CHSY3,black
CHURC1,black
CIZ1,black
CKAP2,black
CLASP1,black
CLCN6,black
CLDN12,black
CLDN3,black
CLIP2,black
CLK4,black
CLN5,black
CLP1,black
CLPX,black
CLSPN,black
CLTC,black
CMBL,black
CNDP2,black
CNIH4,black
CNNM2,black
CNOT1,black
CNOT2,black
CNR2,black
CNST,black
COBRA1,black
COG1,black
COG8,black
COL11A1,black
COL11A2,black
COL12A1,black
COL4A2,black
COL4A3,black
COL4A3BP,black
COL9A1,black
COPS7A,black
COQ10B,black
COQ3,black
CORIN,black
CORO1A,black
COX16,black
COX17,black
COX18,black
COX5B,black
COX7A2,black
CP110,black
CPAMD8,black
CPEB3,black
CPEB4,black
CPNE1,black
CPSF6,black
CPT1C,black
CRADD,black
CREB3,black
CREBZF,black
CRISPLD1,black
CRLF3,black
CRMP1,black
CRTAP,black
CRY1,black
CSMD2,black
CSMD3,black
CSTF2T,black
CSTF3,black
CTBS,black
CTGF,black
CTNNB1,black
CTNNBIP1,black
CWF19L1,black
CXCL3,black
CXXC4,black
CYB5B,black
CYCS,black
CYP2U1,black
CYP46A1,black
CYP4F22,black
CYR61,black
CYTSA,black
D4S234E,black
DACH1,black
DAD1,black
DAGLA,black
DAGLB,black
DAXX,black
DBR1,black
DBT,black
DCAF13,black
DCAF5,black
DCDC1,black
DCHS1,black
DCP1B,black
DCTD,black
DCTN2,black
DCUN1D5,black
DDAH1,black
DDAH2,black
DDB1,black
DDHD1,black
DDX10,black
DDX18,black
DDX19A,black
DDX19B,black
DDX20,black
DDX25,black
DDX42,black
DDX43,black
DDX50,black
DDX58,black
DDX59,black
DDX6,black
DDX60,black
DECR1,black
DEK,black
DENND1B,black
DENND5B,black
DEPDC6,black
DFFB,black
DGCR5,black
DGKH,black
DHODH,black
DHRS12,black
DHRS7,black
DHX16,black
DHX29,black
DHX30,black
DHX37,black
DIAPH1,black
DIAPH3,black
DIO3,black
DIS3,black
DLC1,black
DLGAP2,black
DLGAP5,black
DLK1,black
DLX1,black
DMRTB1,black
DMTF1,black
DNAH9,black
DNAJB6,black
DNAJC1,black
DNAJC14,black
DNAJC16,black
DNAJC2,black
DNAJC21,black
DNAJC6,black
DNTTIP2,black
DPF3,black
DPP10,black
DPYD,black
DPYSL2,black
DRAM2,black
DSE,black
DST,black
DTD1,black
DTWD1,black
DUSP11,black
DUSP19,black
DUSP26,black
DVWA,black
DYDC2,black
DYNC1LI1,black
DYNLL1,black
EDEM1,black
EDEM3,black
EDN1,black
EDNRA,black
EDNRB,black
EEA1,black
EFR3A,black
EGLN1,black
EGLN3,black
EGR2,black
EHMT2,black
EID2,black
EIF1B,black
EIF2B2,black
EIF3A,black
EIF3D,black
EIF3E,black
EIF3F,black
EIF4G2,black
EIF4G3,black
EIF4H,black
EIF5A,black
EIF5A2,black
ELK4,black
ELMO1,black
ELMO2,black
ELOVL6,black
ELP3,black
ELP4,black
EME1,black
EML5,black
ENC1,black
ENTPD4,black
EPB41L5,black
EPCAM,black
EPHA5,black
EPN2,black
EPO,black
EPS8,black
ERC2,black
ERCC2,black
ERCC4,black
ERCC8,black
EREG,black
ERGIC2,black
ERH,black
ERO1L,black
ERP29,black
ESD,black
ESRRG,black
ESYT2,black
ETFB,black
ETV1,black
ETV5,black
EXOC6,black
EXOC7,black
EXOSC7,black
EXOSC9,black
EXPH5,black
EYA3,black
EZR,black
FA2H,black
FAF1,black
FAM100B,black
FAM102B,black
FAM105B,black
FAM109A,black
FAM110C,black
FAM111A,black
FAM124A,black
FAM131B,black
FAM135A,black
FAM149A,black
FAM161A,black
FAM176A,black
FAM178A,black
FAM179A,black
FAM183A,black
FAM190A,black
FAM193B,black
FAM196B,black
FAM20A,black
FAM20C,black
FAM36A,black
FAM38A,black
FAM49B,black
FAM55C,black
FAM5C,black
FAM64A,black
FAM76A,black
FAM76B,black
FAM82B,black
FAM98A,black
FAM98B,black
FANCF,black
FARS2,black
FBL,black
FBLN5,black
FBLN7,black
FBN1,black
FBN2,black
FBRSL1,black
FBXL20,black
FBXL3,black
FBXO11,black
FBXO15,black
FBXO16,black
FBXO22,black
FBXO33,black
FBXO46,black
FBXO47,black
FBXO5,black
FBXO7,black
FBXO9,black
FCHSD2,black
FGF12,black
FGF14,black
FGF9,black
FGGY,black
FIBIN,black
FKBP5,black
FLJ16779,black
FLJ22536,black
FLJ44606,black
FLRT2,black
FLYWCH2,black
FN1,black
FNDC3A,black
FNIP1,black
FNTA,black
FNTB,black
FOS,black
FOXB1,black
FOXJ1,black
FOXK1,black
FOXM1,black
FREQ,black
FRMD3,black
FRS2,black
FRY,black
FTO,black
FUBP1,black
FYCO1,black
FYTTD1,black
FZD1,black
FZD7,black
GABBR1,black
GABPB1,black
GABPB2,black
GABRA1,black
GABRA2,black
GABRB1,black
GABRB2,black
GABRG2,black
GADD45A,black
GADD45GIP1,black
GAK,black
GALNT9,black
GAR1,black
GARS,black
GATAD2B,black
GBE1,black
GDA,black
GDAP2,black
GDPD1,black
GEN1,black
GGCT,black
GGNBP2,black
GGPS1,black
GGTA1,black
GIN1,black
GINS1,black
GJA3,black
GJA8,black
GJD2,black
GLB1L2,black
GLE1,black
GLRA3,black
GLRX2,black
GLS,black
GLT1D1,black
GLT25D2,black
GLUL,black
GMCL1,black
GMIP,black
GNA12,black
GNL3,black
GNPDA2,black
GNPNAT1,black
GNRHR2,black
GOLGA7B,black
GOLGB1,black
GOLIM4,black
GOLSYN,black
GOLT1B,black
GOSR1,black
GPA33,black
GPC6,black
GPD2,black
GPHN,black
GPN1,black
GPR108,black
GPR120,black
GPR149,black
GPR157,black
GPR177,black
GPR3,black
GPSM3,black
GRAMD1C,black
GRAMD3,black
GRB2,black
GREB1,black
GRID2,black
GRIN2B,black
GRM6,black
GRPEL1,black
GRTP1,black
