geneSymbol,moduleColor
HDLBP,black
HEATR2,black
HEATR6,black
HES2,black
HHIP,black
HIGD1A,black
HIST1H2AG,black
HIST1H2BB,black
HLA-DOA,black
HLA-DRA,black
HLA-DRB1,black
HLA-DRB5,black
HLA-DRB6,black
HLA-E,black
HMGA1,black
HMGA2,black
HNF4G,black
HNRNPH1,black
HNRNPU,black
HNRPA1L-2,black
HOXC9,black
HRH1,black
HRH3,black
HSF1,black
HSPA4,black
IAH1,black
IARS,black
IDE,black
IDH3A,black
IFI27L2,black
IFIT5,black
IFNGR1,black
IGF2AS,black
IGF2BP3,black
IGF2R,black
IGFBP3,black
IKZF1,black
IL15,black
IL15RA,black
IL17RE,black
ING4,black
INO80E,black
INTS6,black
IP6K1,black
IPO8,black
IQSEC1,black
IRAK2,black
IRF1,black
ISCU,black
ITGA8,black
ITGB3BP,black
ITGB5,black
JADE1,black
JDP2,black
KANSL1,black
KAT2B,black
KAT6A,black
KATNAL2,black
KBTBD8,black
KCNA3,black
KCNA4,black
KCNQ1DN,black
KDM2A,black
KHDRBS1,black
KIAA0495,black
KIAA1688,black
KIAA1841,black
KIAA1949,black
KIAA1958,black
KIAA1967,black
KIDINS220,black
KIF11,black
KIF18B,black
KIF20B,black
KIF21A,black
KIF24,black
KIF25,black
KLF15,black
KLHDC2,black
KLHDC7B,black
KLHL29,black
KLHL7,black
KNDC1,black
KPNA1,black
KPNA2,black
LARGE,black
LASP1,black
LDHAL6A,black
LDLR,black
LDLRAD4,black
LGI3,black
LHX8,black
LIMCH1,black
LINC01280,black
LMBRD2,black
LMLN,black
LMNA,black
LMNB1,black
LMO7,black
LMX1A,black
LOC100130691,black
LOC100134713,black
LOC100287792,black
LOC100289341,black
LOC100507053,black
LOC100507065,black
LOC101927314,black
LOC101928068,black
LOC101928103,black
LOC284080,black
LOC404266,black
LOC440839,black
LOC729338,black
LOC729799,black
LOC729991,black
LOC729991-MEF2B,black
LOH12CR1,black
LOR,black
LRP2,black
LRRC16A,black
LRRC7,black
LSM5,black
LSMEM1,black
LTBP1,black
LTN1,black
LY6G5C,black
MAD2L1,black
MAEA,black
MAGI2,black
MAGOH,black
MAML3,black
MAN2C1,black
MAP3K13,black
MAP3K7IP2,black
MAP4K1,black
MAPK3,black
MAPK7,black
MAPKAP1,black
MAR-01,black
MARS,black
MARS2,black
MAT2A,black
MBD1,black
MBD2,black
MBOAT2,black
MBOAT7,black
MC1R,black
MCM2,black
MCM3,black
MCM7,black
ME1,black
MECOM,black
MECR,black
MED1,black
MED12L,black
MED22,black
MED27,black
MEIG1,black
MEIS1,black
MELK,black
MEPCE,black
MERTK,black
METT5D1,black
METTL1,black
MICA,black
MINPP1,black
MIR1273H,black
MIR217HG,black
MIR5091,black
MIR5096,black
MIR638,black
MIR6508,black
MIS12,black
MKRN1,black
MLF1IP,black
MLH1,black
MLKL,black
MLLT3,black
MLLT4-AS1,black
MLXIPL,black
MMAA,black
MME,black
MMP25,black
MOBKL3,black
MOCOS,black
MREG,black
MRI1,black
MRPL12,black
MRPL24,black
MRPL32,black
MRPL48,black
MRPL52,black
MRPL54,black
MRPS27,black
MRPS28,black
MRPS9,black
MSC,black
MTCH2,black
MTDH,black
MTMR10,black
MTOR,black
MUC4,black
MYD88,black
MYL6,black
MYL6B,black
MYLK,black
MYO3B,black
N4BP2L2,black
NARFL,black
NAV3,black
NCAPH2,black
NCBP1,black
NCBP2,black
NCKAP5,black
NCKIPSD,black
NCOR2,black
NCRNA00081,black
NDEL1,black
NDFIP2,black
NDUFAF1,black
NDUFB4,black
NDUFS8,black
NECAB3,black
NEDD4L,black
NEK7,black
NELFE,black
NEUROG2,black
NF2,black
NFATC3,black
NFE2L2,black
NFIB,black
NFIX,black
NHP2,black
NHP2L1,black
NIP7,black
NKX2-3,black
NLE1,black
NMNAT1,black
NMUR1,black
NOD1,black
NOL4,black
NOP58,black
NPEPPS,black
NPR3,black
NPTX2,black
NPY,black
NR1D1,black
NR1H3,black
NR3C1,black
NRBF2,black
NRIP1,black
NRIP2,black
NRXN1,black
NT5C2,black
NT5DC1,black
NUBP2,black
NUDC,black
NUFIP1,black
NUFIP2,black
NUP107,black
NUP205,black
NXPE3,black
NXPH2,black
OAZ3,black
OBFC1,black
OBSCN,black
ODF2L,black
OLIG1,black
OPCML,black
OPRD1,black
OR2AK2,black
OR4K2,black
OR52B6,black
OR8U8,black
ORC3L,black
OSBPL1A,black
OSTC,black
OXR1,black
OXTR,black
PACRG,black
PAFAH1B2,black
PAK2,black
PALM2,black
PAN2,black
PAPSS2,black
PAX6,black
PAX8,black
PCCA,black
PCDH10,black
PCDHB8,black
PCGF6,black
PCSK5,black
PCYT1A,black
PDDC1,black
PDE12,black
PDE2A,black
PDE4D,black
PDGFRA,black
PDLIM3,black
PEX11B,black
PFDN1,black
PFKFB2,black
PFKFB3,black
PFKP,black
PGA5,black
PGAP2,black
PGGT1B,black
PGLYRP2,black
PHF10,black
PHF20,black
PHF20L1,black
PHF21B,black
PHLPP1,black
PHLPP2,black
PHRF1,black
PI15,black
PIAS3,black
PIGBOS1,black
PIGY,black
PINX1,black
PKHD1,black
PKM,black
PKNOX2,black
PLAC9,black
PLCE1,black
PLCG1,black
PLEKHA2,black
PLXNA4,black
PLXNC1,black
PNN,black
PNPLA1,black
PNPLA7,black
PNPO,black
PNPT1,black
POFUT2,black
POLB,black
POLR1B,black
POM121C,black
POSTN,black
POU2F1,black
PPA2,black
PPARGC1A,black
PPFIA2,black
PPIL4,black
PPIL6,black
PPIP5K2,black
PPP1CA,black
PPP2CA,black
PPP2R2A,black
PPP2R2B,black
PPP2R5A,black
PPP2R5C,black
PPP4R2,black
PPT2,black
PRC1,black
PREX1,black
PRIMA1,black
PRKCG,black
PRLR,black
PRMT10,black
PRNP,black
PROM1,black
PRPS1L1,black
PRR13,black
PRRG4,black
PSIP1,black
PSMB9,black
PSMD14,black
PSRC1,black
PSTK,black
PTCD1,black
PTCH1,black
PTEN,black
PTGDR,black
PTGFRN,black
PTH1R,black
PTN,black
PTPN1,black
PTPN14,black
PTPRG,black
PTPRT,black
PTTG1IP,black
PXK,black
R3HCC1,black
RAB23,black
RAB36,black
RAB44,black
RAB5B,black
RABL3,black
RAD18,black
RAD50,black
RAD54L,black
RAI1,black
RALGPS1,black
RANBP3,black
RAP1B,black
RARS,black
RASGRP1,black
RASSF7,black
RASSF8,black
RB1,black
RB1CC1,black
RBM12,black
RBM16,black
RBM24,black
RBPJ,black
RBPMS2,black
RCCD1,black
RDBP,black
REEP5,black
RERE,black
