geneSymbol,moduleColor
DLGAP3,bisque4
DLK1,bisque4
DMAP1,bisque4
DMC1,bisque4
DMRTA2,bisque4
DNAJC11,bisque4
DOCK5,bisque4
DOK5,bisque4
DPP3,bisque4
DPY30,bisque4
DPYSL5,bisque4
DRAM1,bisque4
DRAM2,bisque4
DSC3,bisque4
DSCAM,bisque4
DUOX1,bisque4
DUSP10,bisque4
DUSP19,bisque4
DUSP4,bisque4
DUSP6,bisque4
DUT,bisque4
DYNC1I1,bisque4
DYNLT1,bisque4
DYX1C1,bisque4
ECH1,bisque4
EDNRB,bisque4
EEF1A1,bisque4
EEPD1,bisque4
EFHC1,bisque4
EGLN2,bisque4
EHBP1,bisque4
EHMT2,bisque4
EID2,bisque4
EIF2C2,bisque4
EIF3M,bisque4
EIF4A3,bisque4
EIF4H,bisque4
ELAC2,bisque4
ELK4,bisque4
ELMO1,bisque4
ELMOD2,bisque4
ELMOD3,bisque4
EME1,bisque4
ENKUR,bisque4
ENOX1,bisque4
ENTPD6,bisque4
EPS8,bisque4
ERCC6,bisque4
ETNK1,bisque4
ETS1,bisque4
ETV5,bisque4
ETV6,bisque4
EXPH5,bisque4
EXT1,bisque4
EXTL3,bisque4
EZH2,bisque4
FAAH,bisque4
FAM116A,bisque4
FAM123A,bisque4
FAM124B,bisque4
FAM149A,bisque4
FAM164A,bisque4
FAM174A,bisque4
FAM174B,bisque4
FAM184A,bisque4
FAM194B,bisque4
FAM195B,bisque4
FAM19A2,bisque4
FAM20B,bisque4
FAM36A,bisque4
FAM43A,bisque4
FAM47E,bisque4
FAM49B,bisque4
FAM50B,bisque4
FAM59B,bisque4
FAM69C,bisque4
FAM76A,bisque4
FAM98B,bisque4
FARP1,bisque4
FARSB,bisque4
FAT1,bisque4
FBXL14,bisque4
FBXL16,bisque4
FBXL20,bisque4
FBXO21,bisque4
FBXO27,bisque4
FBXO30,bisque4
FBXO38,bisque4
FDXR,bisque4
FEM1C,bisque4
FEN1,bisque4
FGF1,bisque4
FGF18,bisque4
FILIP1,bisque4
FIS1,bisque4
FLJ16779,bisque4
FLJ31306,bisque4
FLJ37543,bisque4
FLJ39653,bisque4
FLJ43663,bisque4
FLJ43860,bisque4
FLJ45244,bisque4
FLJ45983,bisque4
FNDC3B,bisque4
FOXE3,bisque4
FOXJ3,bisque4
FOXM1,bisque4
FUCA1,bisque4
FXR2,bisque4
GAB1,bisque4
GABARAP,bisque4
GABARAPL1,bisque4
GABRA1,bisque4
GAD1,bisque4
GALNTL4,bisque4
GAN,bisque4
GBA,bisque4
GBAP1,bisque4
GBAS,bisque4
GCG,bisque4
GDAP1,bisque4
GDF7,bisque4
GDI2,bisque4
GDPD1,bisque4
GEM,bisque4
GGCT,bisque4
GGPS1,bisque4
GHITM,bisque4
GJA3,bisque4
GLB1L2,bisque4
GLB1L3,bisque4
GLRX2,bisque4
GLS,bisque4
GLUL,bisque4
GM2A,bisque4
GMDS,bisque4
GNA12,bisque4
GNAI1,bisque4
GNAI3,bisque4
GNB1,bisque4
GOLGA4,bisque4
GOLPH3L,bisque4
GOLSYN,bisque4
GOPC,bisque4
GPC5,bisque4
GPD1L,bisque4
GPLD1,bisque4
GPR123,bisque4
GPR133,bisque4
GPR137B,bisque4
GPR149,bisque4
GPR63,bisque4
GPX6,bisque4
GRAMD1C,bisque4
GRB2,bisque4
GREB1,bisque4
GRIK1,bisque4
GRK6,bisque4
GRM8,bisque4
GRWD1,bisque4
GSDMD,bisque4
GSTA4,bisque4
GSTM5,bisque4
GTF2A2,bisque4
GTF2B,bisque4
GTF2F2,bisque4
GTF3C5,bisque4
GTPBP3,bisque4
GUCY1A2,bisque4
GUCY1B3,bisque4
GXYLT1,bisque4
H1FNT,bisque4
H2AFY,bisque4
H2AFY2,bisque4
H6PD,bisque4
HAUS3,bisque4
HCCA2,bisque4
HDAC4,bisque4
HDAC7,bisque4
HECTD1,bisque4
HES7,bisque4
HEXIM1,bisque4
HEY1,bisque4
HEY2,bisque4
HGS,bisque4
HIF1AN,bisque4
HIGD2B,bisque4
HIST1H1B,bisque4
HIST1H2AM,bisque4
HIST1H2BH,bisque4
HIST1H2BJ,bisque4
HIST1H2BK,bisque4
HIST1H4E,bisque4
HIST1H4H,bisque4
HIST1H4J,bisque4
HLA-DOA,bisque4
HLA-E,bisque4
HLA-F,bisque4
HLTF,bisque4
HMGA2,bisque4
HMGB1,bisque4
HMGB4,bisque4
HMGCS1,bisque4
HMOX2,bisque4
HMP19,bisque4
HNRNPA1,bisque4
HNRNPF,bisque4
HNRNPH1,bisque4
HNRNPUL1,bisque4
HNRPDL,bisque4
HNRPLL,bisque4
HOPX,bisque4
HORMAD1,bisque4
HOXD11,bisque4
HPS3,bisque4
HSD17B4,bisque4
HSPA2,bisque4
HSPA4,bisque4
HTATIP2,bisque4
HYLS1,bisque4
ICMT,bisque4
IER3,bisque4
IER3IP1,bisque4
IFIT5,bisque4
IGF2R,bisque4
IGSF3,bisque4
IHH,bisque4
IKZF2,bisque4
IL28RA,bisque4
ILVBL,bisque4
IMMP2L,bisque4
INCA1,bisque4
INPP4B,bisque4
INPP5A,bisque4
IRF2,bisque4
ISOC2,bisque4
ITFG2,bisque4
ITGA1,bisque4
ITGA3,bisque4
ITGA7,bisque4
ITGA8,bisque4
ITGAV,bisque4
ITGB1,bisque4
ITPR2,bisque4
IVNS1ABP,bisque4
JAG1,bisque4
JAZF1,bisque4
JUN,bisque4
KAZALD1,bisque4
KCNIP4,bisque4
KCNK13,bisque4
KCNQ2,bisque4
KCTD1,bisque4
KCTD15,bisque4
KDM2B,bisque4
KDM3A,bisque4
KDM4C,bisque4
KHSRP,bisque4
KIAA0101,bisque4
KIAA0174,bisque4
KIAA0182,bisque4
KIAA0319,bisque4
KIAA0319L,bisque4
KIAA0586,bisque4
KIAA0947,bisque4
KIAA1009,bisque4
KIAA1530,bisque4
KIAA1984,bisque4
KIF13B,bisque4
KIF15,bisque4
KIF18B,bisque4
KLF12,bisque4
KLF13,bisque4
KLK10,bisque4
KPNA5,bisque4
KRCC1,bisque4
KREMEN1,bisque4
KRIT1,bisque4
KRTAP5-9,bisque4
LAMP1,bisque4
LANCL1,bisque4
LANCL2,bisque4
LAP3,bisque4
LARP4,bisque4
LATS1,bisque4
LBX1,bisque4
LCT,bisque4
LDLR,bisque4
LEMD3,bisque4
LEP,bisque4
LGMN,bisque4
LHFPL5,bisque4
LHPP,bisque4
LHX1,bisque4
LHX8,bisque4
LIN54,bisque4
LMAN2L,bisque4
LMBRD2,bisque4
LMX1B,bisque4
LOC100134713,bisque4
LOC100292680,bisque4
LOC221710,bisque4
LOC285359,bisque4
LOC285456,bisque4
LOC285830,bisque4
LOC338799,bisque4
LOC344595,bisque4
LOC388588,bisque4
LOC440839,bisque4
LRBA,bisque4
LRGUK,bisque4
LRIG3,bisque4
LRP6,bisque4
LRPAP1,bisque4
LRRC20,bisque4
LRRC27,bisque4
LRRC36,bisque4
LRRC3B,bisque4
LRRC58,bisque4
LSM10,bisque4
LSM6,bisque4
LSMD1,bisque4
LTB,bisque4
LVRN,bisque4
LYPD5,bisque4
LYPD6B,bisque4
LYRM2,bisque4
MAD2L2,bisque4
MAML2,bisque4
MAML3,bisque4
MAN1A2,bisque4
MANEA,bisque4
MAP1LC3B,bisque4
MAP2K1,bisque4
MAP3K7,bisque4
MAP6,bisque4
MAPK4,bisque4
MAPKAPK2,bisque4
MAPKAPK3,bisque4
MAPKBP1,bisque4
MAR-08,bisque4
MARCKS,bisque4
MATN2,bisque4
MATN3,bisque4
MATR3,bisque4
MBD1,bisque4
